Date,Time,X-Axis (Accel.),Y-Axis (Accel.),Z-Axis (Accel.),g force in X,g force in Y,g force in Z,Latitude,Longitude
04/01/2020,01:18:17,0.1484405029296875,0.1005564697265625,7.977479931640625,0.02,0.01,1.0,23.020148,72.477095
04/01/2020,01:18:17,0.296881005859375,0.00239420166015625,8.073247998046874,0.04,0.0,1.01,23.020148,72.477095
04/01/2020,01:18:17,0.1292868896484375,0.02154781494140625,8.001421948242188,0.02,0.0,1.0,23.020148,72.477095
04/01/2020,01:18:17,0.1484405029296875,0.11252747802734374,8.068459594726562,0.02,0.01,1.01,23.020148,72.477095
04/01/2020,01:18:17,0.13646949462890623,0.0430956298828125,8.070853796386718,0.02,0.01,1.01,23.020148,72.477095
04/01/2020,01:18:17,0.14125789794921875,0.1005564697265625,7.991845141601562,0.02,0.01,1.0,23.020148,72.477095
04/01/2020,01:18:17,0.2705447875976562,0.05985504150390625,8.030152368164062,0.03,0.01,1.0,23.020148,72.477095
04/01/2020,01:18:18,0.023942016601562498,0.07900865478515624,8.01818135986328,0.0,0.01,1.0,23.020148,72.477095
04/01/2020,01:18:18,0.296881005859375,-0.02154781494140625,8.061276989746093,0.04,-0.0,1.01,23.020148,72.477095
04/01/2020,01:18:18,0.02633621826171875,0.05746083984375,7.970297326660156,0.0,0.01,1.0,23.020148,72.477095
04/01/2020,01:18:18,0.143652099609375,0.031124621582031248,8.09479581298828,0.02,0.0,1.01,23.020148,72.477095
04/01/2020,01:18:18,0.02154781494140625,0.040701428222656245,7.999027746582031,0.0,0.01,1.0,23.020148,72.477095
04/01/2020,01:18:18,0.09337386474609374,0.06703764648437499,8.061276989746093,0.01,0.01,1.01,23.020148,72.477095
04/01/2020,01:18:18,0.016759411621093748,0.10295067138671875,8.044517578125,0.0,0.01,1.01,23.020148,72.477095
04/01/2020,01:18:18,0.11013327636718749,0.040701428222656245,8.022969763183593,0.01,0.01,1.0,23.020148,72.477095
04/01/2020,01:18:18,0.12210428466796874,0.08379705810546874,8.049305981445311,0.02,0.01,1.01,23.020148,72.477095
04/01/2020,01:18:18,0.12449848632812499,0.13646949462890623,8.054094384765625,0.02,0.02,1.01,23.020148,72.477095
04/01/2020,01:18:18,0.15083470458984374,0.06464344482421874,8.085219006347655,0.02,0.01,1.01,23.020148,72.477095
04/01/2020,01:18:18,0.143652099609375,0.0526724365234375,8.027758166503906,0.02,0.01,1.0,23.020148,72.477095
04/01/2020,01:18:18,0.17477672119140625,0.0909796630859375,8.032546569824218,0.02,0.01,1.0,23.020148,72.477095
04/01/2020,01:18:18,0.14125789794921875,0.1388636962890625,8.13310303955078,0.02,0.02,1.02,23.020148,72.477095
04/01/2020,01:18:19,0.11731588134765625,0.023942016601562498,8.214505895996094,0.01,0.0,1.03,23.020148,72.477095
04/01/2020,01:18:19,0.1771709228515625,0.06943184814453125,8.015787158203125,0.02,0.01,1.0,23.020148,72.477095
04/01/2020,01:18:19,0.15322890625,0.0718260498046875,8.097190014648437,0.02,0.01,1.01,23.020148,72.477095
04/01/2020,01:18:19,0.13646949462890623,0.04548983154296875,7.975085729980468,0.02,0.01,1.0,23.020148,72.477095
04/01/2020,01:18:19,0.1149216796875,0.12689268798828124,7.982268334960937,0.01,0.02,1.0,23.020148,72.477095
04/01/2020,01:18:19,0.143652099609375,0.00718260498046875,8.044517578125,0.02,0.0,1.01,23.020148,72.477095
04/01/2020,01:18:19,0.09576806640624999,0.12210428466796874,8.008604553222655,0.01,0.02,1.0,23.020148,72.477095
04/01/2020,01:18:19,0.15083470458984374,-0.0143652099609375,8.058882788085937,0.02,-0.0,1.01,23.020148,72.477095
04/01/2020,01:18:19,0.28969840087890625,0.08379705810546874,7.908048083496094,0.04,0.01,0.99,23.020148,72.477095
04/01/2020,01:18:19,0.1197100830078125,0.0430956298828125,7.8912886718749995,0.01,0.01,0.99,23.020148,72.477095
04/01/2020,01:18:19,0.14125789794921875,0.04548983154296875,8.051700183105469,0.02,0.01,1.01,23.020148,72.477095
04/01/2020,01:18:19,0.12449848632812499,0.05985504150390625,8.05648858642578,0.02,0.01,1.01,23.020148,72.477095
04/01/2020,01:18:19,0.09576806640624999,0.04548983154296875,8.204929089355469,0.01,0.01,1.03,23.020148,72.477095
04/01/2020,01:18:19,0.0718260498046875,0.01915361328125,7.987056738281249,0.01,0.0,1.0,23.020148,72.477095
04/01/2020,01:18:20,0.3016694091796875,0.0526724365234375,8.0828248046875,0.04,0.01,1.01,23.020148,72.477095
04/01/2020,01:18:20,0.1292868896484375,0.04548983154296875,8.271966735839843,0.02,0.01,1.03,23.020148,72.477095
04/01/2020,01:18:20,0.0909796630859375,0.076614453125,7.8529814453124995,0.01,0.01,0.98,23.020148,72.477095
04/01/2020,01:18:20,0.143652099609375,0.0383072265625,8.111555224609374,0.02,0.0,1.01,23.020148,72.477095
04/01/2020,01:18:20,0.16759411621093748,0.0526724365234375,8.027758166503906,0.02,0.01,1.0,23.020148,72.477095
04/01/2020,01:18:20,0.11731588134765625,0.076614453125,8.068459594726562,0.01,0.01,1.01,23.020148,72.477095
04/01/2020,01:18:20,0.16759411621093748,0.04548983154296875,8.080430603027343,0.02,0.01,1.01,23.020148,72.477095
04/01/2020,01:18:20,0.023942016601562498,0.0383072265625,8.0062103515625,0.0,0.0,1.0,23.020148,72.477095
04/01/2020,01:18:20,0.1580173095703125,0.12210428466796874,8.085219006347655,0.02,0.02,1.01,23.020148,72.477095
04/01/2020,01:18:20,0.1292868896484375,0.086191259765625,8.05648858642578,0.02,0.01,1.01,23.020148,72.477095
04/01/2020,01:18:20,0.02633621826171875,0.06703764648437499,8.044517578125,0.0,0.01,1.01,23.020148,72.477095
04/01/2020,01:18:20,0.1388636962890625,0.06464344482421874,8.044517578125,0.02,0.01,1.01,23.020148,72.477095
04/01/2020,01:18:20,0.16041151123046873,0.0718260498046875,7.955932116699218,0.02,0.01,0.99,23.020148,72.477095
04/01/2020,01:18:20,-0.19393033447265623,0.22266075439453123,9.208099584960937,-0.02,0.03,1.15,23.020148,72.477095
04/01/2020,01:18:20,-0.0718260498046875,0.181959326171875,7.675810522460937,-0.01,0.02,0.96,23.020148,72.477095
04/01/2020,01:18:20,-0.44532150878906246,0.22744915771484372,8.427589843749999,-0.06,0.03,1.05,23.020148,72.477095
