Date,Time,X-Axis,Y-Axis,Z-Axis,Latitude,Longitude
02/01/2020,09:49:52,0.37828386230468747,0.36391865234375,8.022969763183593,23.019655,72.477165
02/01/2020,09:49:52,0.373495458984375,0.36391865234375,8.022969763183593,23.019655,72.477165
02/01/2020,09:49:52,0.2920926025390625,0.36391865234375,7.884106066894531,23.019655,72.477165
02/01/2020,09:49:52,0.2753331909179687,0.37828386230468747,7.972691528320312,23.019655,72.477165
02/01/2020,09:49:52,0.15562310791015624,0.3687070556640625,8.0062103515625,23.019655,72.477165
02/01/2020,09:49:52,0.30885201416015623,0.3758896606445312,7.9104422851562495,23.019655,72.477165
02/01/2020,09:49:52,0.3136404174804687,0.28012159423828126,7.958326318359375,23.019655,72.477165
02/01/2020,09:49:52,0.33518823242187495,0.33518823242187495,7.991845141601562,23.019655,72.477165
02/01/2020,09:49:53,0.3232172241210937,0.38307226562499996,7.982268334960937,23.019655,72.477165
02/01/2020,09:49:53,0.39264907226562495,0.38307226562499996,7.991845141601562,23.019655,72.477165
02/01/2020,09:49:53,0.39264907226562495,0.3950432739257812,8.044517578125,23.019655,72.477165
02/01/2020,09:49:53,0.30885201416015623,0.38786066894531246,7.934384301757812,23.019655,72.477165
02/01/2020,09:49:53,0.4477157104492187,0.2154781494140625,8.022969763183593,23.019655,72.477165
02/01/2020,09:49:53,0.23702596435546874,0.3902548706054687,7.936778503417968,23.019655,72.477165
02/01/2020,09:49:53,0.3399766357421875,0.3232172241210937,8.010998754882811,23.019655,72.477165
02/01/2020,09:49:53,0.35673604736328124,0.35673604736328124,8.049305981445311,23.019655,72.477165
02/01/2020,09:49:53,0.29927520751953124,0.3232172241210937,8.0062103515625,23.019655,72.477165
02/01/2020,09:49:53,0.45010991210937495,0.32082302246093747,7.996633544921875,23.019655,72.477165
02/01/2020,09:49:53,0.3184288208007812,0.39983167724609375,8.030152368164062,23.019655,72.477165
02/01/2020,09:49:53,0.34237083740234375,0.36152445068359373,7.8721350585937495,23.019655,72.477165
02/01/2020,09:49:53,0.34237083740234375,0.29448680419921874,7.994239343261718,23.019655,72.477165
02/01/2020,09:49:54,0.36391865234375,0.3112462158203125,7.967903124999999,23.019655,72.477165
02/01/2020,09:49:54,0.354341845703125,0.33039982910156246,8.037334973144532,23.019655,72.477165
02/01/2020,09:49:54,0.37828386230468747,0.35194764404296874,7.977479931640625,23.019655,72.477165
02/01/2020,09:49:54,0.316034619140625,0.32082302246093747,8.075642199707032,23.019655,72.477165
02/01/2020,09:49:54,0.2609679809570312,0.4477157104492187,7.9846625366210935,23.019655,72.477165
02/01/2020,09:49:54,0.44532150878906246,0.2920926025390625,7.963114721679687,23.019655,72.477165
02/01/2020,09:49:54,0.18435352783203124,0.3687070556640625,7.977479931640625,23.019655,72.477165
02/01/2020,09:49:54,0.316034619140625,0.34237083740234375,8.022969763183593,23.019655,72.477165
02/01/2020,09:49:54,0.3447650390625,0.33039982910156246,7.975085729980468,23.019655,72.477165
02/01/2020,09:49:54,0.3447650390625,0.39983167724609375,7.977479931640625,23.019655,72.477165
02/01/2020,09:49:54,0.3711012573242187,0.38307226562499996,7.893682873535155,23.019655,72.477165
02/01/2020,09:49:54,0.35673604736328124,0.38786066894531246,7.996633544921875,23.019655,72.477165
02/01/2020,09:49:54,0.3687070556640625,0.29448680419921874,7.9104422851562495,23.019655,72.477165
02/01/2020,09:49:55,0.15322890625,0.316034619140625,8.013392956542969,23.019655,72.477165
02/01/2020,09:49:55,0.25139117431640623,0.34237083740234375,8.027758166503906,23.019655,72.477165
02/01/2020,09:49:55,0.4477157104492187,0.37828386230468747,8.051700183105469,23.019655,72.477165
02/01/2020,09:49:55,0.4572925170898437,0.3854664672851562,7.9295958984374995,23.019655,72.477165
02/01/2020,09:49:55,0.40940848388671874,0.33518823242187495,7.958326318359375,23.019655,72.477165
02/01/2020,09:49:55,0.3399766357421875,0.32561142578124996,7.900865478515625,23.019655,72.477165
02/01/2020,09:49:55,0.36631285400390623,0.32561142578124996,8.106766821289062,23.019655,72.477165
02/01/2020,09:49:55,0.316034619140625,0.430956298828125,7.975085729980468,23.019655,72.477165
02/01/2020,09:49:55,0.32561142578124996,0.36631285400390623,8.068459594726562,23.019655,72.477165
02/01/2020,09:49:55,0.32561142578124996,0.32082302246093747,7.941566906738281,23.019655,72.477165
02/01/2020,09:49:55,0.4572925170898437,0.36391865234375,8.015787158203125,23.019655,72.477165
02/01/2020,09:49:55,0.39983167724609375,0.34715924072265625,7.991845141601562,23.019655,72.477165
02/01/2020,09:49:56,0.3591302490234375,0.316034619140625,8.015787158203125,23.019655,72.477165
02/01/2020,09:49:56,0.15562310791015624,0.15562310791015624,7.982268334960937,23.019655,72.477165
02/01/2020,09:49:56,0.3711012573242187,0.35673604736328124,7.867346655273437,23.019655,72.477165
02/01/2020,09:49:56,0.3591302490234375,0.35194764404296874,8.032546569824218,23.019655,72.477165
02/01/2020,09:49:56,0.3112462158203125,0.38786066894531246,7.970297326660156,23.019655,72.477165
02/01/2020,09:49:56,0.3447650390625,0.15562310791015624,8.070853796386718,23.019655,72.477165
02/01/2020,09:49:56,0.44053310546874996,0.354341845703125,7.960720520019531,23.019655,72.477165
02/01/2020,09:49:56,0.41898529052734373,0.4477157104492187,8.030152368164062,23.019655,72.477165
02/01/2020,09:49:56,0.45489831542968745,0.3016694091796875,7.958326318359375,23.019655,72.477165
02/01/2020,09:49:56,0.21308394775390624,0.3854664672851562,8.01818135986328,23.019655,72.477165
